source,routeId,originHarbourId,destinationHarbourId,origin,destination,destinationProvince,shipClass,serviceCategory,serviceId,serviceName,vehicleClass,departDate,departTime,scheduleId,quota,fareAmount,totalPrice,currency,status,statusCode,message,sourceFile
ferizy.com,classic-3-2-sc1,3,2,Bakauheni,Merak,,SC1,Kendaraan,4,GOLONGAN I,GOLONGAN I,2026-08-20,11:00:00-12:00:00,,873,26500,26500,IDR,OK,200,,unified_fares_ferizy_classic_all_2026-08-20.csv
ferizy.com,classic-3-2-sc1,3,2,Bakauheni,Merak,,SC1,Pejalan Kaki,4,GOLONGAN I,GOLONGAN I,2026-08-20,,,,,,IDR,empty,0,,unified_fares_ferizy_classic_all_2026-08-20.csv
ferizy.com,classic-3-2-sc1,3,2,Bakauheni,Merak,,SC1,Kendaraan,7,GOLONGAN II,GOLONGAN II,2026-08-20,11:00:00-12:00:00,,873,62100,62100,IDR,OK,200,,unified_fares_ferizy_classic_all_2026-08-20.csv
ferizy.com,classic-3-2-sc1,3,2,Bakauheni,Merak,,SC1,Pejalan Kaki,7,GOLONGAN II,GOLONGAN II,2026-08-20,,,,,,IDR,empty,0,,unified_fares_ferizy_classic_all_2026-08-20.csv
ferizy.com,classic-3-2-sc1,3,2,Bakauheni,Merak,,SC1,Kendaraan,8,GOLONGAN III,GOLONGAN III,2026-08-20,11:00:00-12:00:00,,872,133000,133000,IDR,OK,200,,unified_fares_ferizy_classic_all_2026-08-20.csv
ferizy.com,classic-3-2-sc1,3,2,Bakauheni,Merak,,SC1,Pejalan Kaki,8,GOLONGAN III,GOLONGAN III,2026-08-20,,,,,,IDR,empty,0,,unified_fares_ferizy_classic_all_2026-08-20.csv
ferizy.com,classic-3-2-sc1,3,2,Bakauheni,Merak,,SC1,Kendaraan,9,GOLONGAN IVA,GOLONGAN IVA,2026-08-20,11:00:00-12:00:00,,873,481800,481800,IDR,OK,200,,unified_fares_ferizy_classic_all_2026-08-20.csv
ferizy.com,classic-3-2-sc1,3,2,Bakauheni,Merak,,SC1,Pejalan Kaki,9,GOLONGAN IVA,GOLONGAN IVA,2026-08-20,,,,,,IDR,empty,0,,unified_fares_ferizy_classic_all_2026-08-20.csv
ferizy.com,classic-3-2-sc2,3,2,Bakauheni,Merak,,SC2,Kendaraan,10,GOLONGAN IVB,GOLONGAN IVB,2026-08-20,11:06:00-11:06:00,,303,491800,491800,IDR,OK,200,,unified_fares_ferizy_classic_all_2026-08-20.csv
ferizy.com,classic-3-2-sc2,3,2,Bakauheni,Merak,,SC2,Pejalan Kaki,10,GOLONGAN IVB,GOLONGAN IVB,2026-08-20,,,,,,IDR,empty,0,,unified_fares_ferizy_classic_all_2026-08-20.csv
ferizy.com,classic-3-2-sc2,3,2,Bakauheni,Merak,,SC2,Kendaraan,11,GOLONGAN VA,GOLONGAN VA,2026-08-20,11:06:00-11:06:00,,303,1225928,1225928,IDR,OK,200,,unified_fares_ferizy_classic_all_2026-08-20.csv
ferizy.com,classic-3-2-sc2,3,2,Bakauheni,Merak,,SC2,Pejalan Kaki,11,GOLONGAN VA,GOLONGAN VA,2026-08-20,,,,,,IDR,empty,0,,unified_fares_ferizy_classic_all_2026-08-20.csv
ferizy.com,classic-3-2-sc2,3,2,Bakauheni,Merak,,SC2,Kendaraan,12,GOLONGAN VB,GOLONGAN VB,2026-08-20,11:06:00-11:06:00,,303,904923,904923,IDR,OK,200,,unified_fares_ferizy_classic_all_2026-08-20.csv
ferizy.com,classic-3-2-sc2,3,2,Bakauheni,Merak,,SC2,Pejalan Kaki,12,GOLONGAN VB,GOLONGAN VB,2026-08-20,,,,,,IDR,empty,0,,unified_fares_ferizy_classic_all_2026-08-20.csv
ferizy.com,classic-3-2-sc2,3,2,Bakauheni,Merak,,SC2,Kendaraan,13,GOLONGAN VIA,GOLONGAN VIA,2026-08-20,11:06:00-11:06:00,,303,2015985,2015985,IDR,OK,200,,unified_fares_ferizy_classic_all_2026-08-20.csv
ferizy.com,classic-3-2-sc2,3,2,Bakauheni,Merak,,SC2,Pejalan Kaki,13,GOLONGAN VIA,GOLONGAN VIA,2026-08-20,,,,,,IDR,empty,0,,unified_fares_ferizy_classic_all_2026-08-20.csv
ferizy.com,classic-3-2-sc2,3,2,Bakauheni,Merak,,SC2,Kendaraan,14,GOLONGAN VIB,GOLONGAN VIB,2026-08-20,11:06:00-11:06:00,,303,1366620,1366620,IDR,OK,200,,unified_fares_ferizy_classic_all_2026-08-20.csv
ferizy.com,classic-3-2-sc2,3,2,Bakauheni,Merak,,SC2,Pejalan Kaki,14,GOLONGAN VIB,GOLONGAN VIB,2026-08-20,,,,,,IDR,empty,0,,unified_fares_ferizy_classic_all_2026-08-20.csv
ferizy.com,classic-3-2-sc2,3,2,Bakauheni,Merak,,SC2,Kendaraan,15,GOLONGAN VII,GOLONGAN VII,2026-08-20,11:06:00-11:06:00,,303,1975580,1975580,IDR,OK,200,,unified_fares_ferizy_classic_all_2026-08-20.csv
ferizy.com,classic-3-2-sc2,3,2,Bakauheni,Merak,,SC2,Pejalan Kaki,15,GOLONGAN VII,GOLONGAN VII,2026-08-20,,,,,,IDR,empty,0,,unified_fares_ferizy_classic_all_2026-08-20.csv
ferizy.com,classic-3-2-sc2,3,2,Bakauheni,Merak,,SC2,Kendaraan,16,GOLONGAN VIII,GOLONGAN VIII,2026-08-20,11:06:00-11:06:00,,303,2619845,2619845,IDR,OK,200,,unified_fares_ferizy_classic_all_2026-08-20.csv
ferizy.com,classic-3-2-sc2,3,2,Bakauheni,Merak,,SC2,Pejalan Kaki,16,GOLONGAN VIII,GOLONGAN VIII,2026-08-20,,,,,,IDR,empty,0,,unified_fares_ferizy_classic_all_2026-08-20.csv
ferizy.com,classic-3-2-sc2,3,2,Bakauheni,Merak,,SC2,Kendaraan,17,GOLONGAN IX,GOLONGAN IX,2026-08-20,11:06:00-11:06:00,,303,3998920,3998920,IDR,OK,200,,unified_fares_ferizy_classic_all_2026-08-20.csv
ferizy.com,classic-3-2-sc2,3,2,Bakauheni,Merak,,SC2,Pejalan Kaki,17,GOLONGAN IX,GOLONGAN IX,2026-08-20,,,,,,IDR,empty,0,,unified_fares_ferizy_classic_all_2026-08-20.csv
ferizy.com,classic-3-2-sc2,3,2,Bakauheni,Merak,,SC2,Kendaraan,4,GOLONGAN I,GOLONGAN I,2026-08-20,11:06:00-11:06:00,,303,85000,85000,IDR,OK,200,,unified_fares_ferizy_classic_all_2026-08-20.csv
ferizy.com,classic-3-2-sc2,3,2,Bakauheni,Merak,,SC2,Pejalan Kaki,4,GOLONGAN I,GOLONGAN I,2026-08-20,,,,,,IDR,empty,0,,unified_fares_ferizy_classic_all_2026-08-20.csv
ferizy.com,classic-3-2-sc2,3,2,Bakauheni,Merak,,SC2,Kendaraan,7,GOLONGAN II,GOLONGAN II,2026-08-20,11:06:00-11:06:00,,303,129677,129677,IDR,OK,200,,unified_fares_ferizy_classic_all_2026-08-20.csv
ferizy.com,classic-3-2-sc2,3,2,Bakauheni,Merak,,SC2,Pejalan Kaki,7,GOLONGAN II,GOLONGAN II,2026-08-20,,,,,,IDR,empty,0,,unified_fares_ferizy_classic_all_2026-08-20.csv
ferizy.com,classic-3-2-sc2,3,2,Bakauheni,Merak,,SC2,Kendaraan,8,GOLONGAN III,GOLONGAN III,2026-08-20,11:06:00-11:06:00,,303,187853,187853,IDR,OK,200,,unified_fares_ferizy_classic_all_2026-08-20.csv
ferizy.com,classic-3-2-sc2,3,2,Bakauheni,Merak,,SC2,Pejalan Kaki,8,GOLONGAN III,GOLONGAN III,2026-08-20,,,,,,IDR,empty,0,,unified_fares_ferizy_classic_all_2026-08-20.csv
