route,ship_class,service,vehicle_class,vehicle_class_name,depart_date,depart_time,available_quota,sample_total,currency,status,fare_count,sample_quota
3 → 2,SC2,Kendaraan,VC16,GOLONGAN VIII,2026-08-20,11:06:00-11:06:00,303,2619845,IDR,OK,1,303
3 → 2,SC2,Kendaraan,VC17,GOLONGAN IX,2026-08-20,11:06:00-11:06:00,303,3998920,IDR,OK,1,303
3 → 2,SC2,PejalanKaki,VC4,GOLONGAN I,2026-08-20,,,,IDR,empty,0,
3 → 2,SC2,PejalanKaki,VC7,GOLONGAN II,2026-08-20,,,,IDR,empty,0,
3 → 2,SC2,PejalanKaki,VC8,GOLONGAN III,2026-08-20,,,,IDR,empty,0,
3 → 2,SC2,PejalanKaki,VC9,GOLONGAN IVA,2026-08-20,,,,IDR,empty,0,
3 → 2,SC2,PejalanKaki,VC10,GOLONGAN IVB,2026-08-20,,,,IDR,empty,0,
3 → 2,SC2,PejalanKaki,VC11,GOLONGAN VA,2026-08-20,,,,IDR,empty,0,
3 → 2,SC2,PejalanKaki,VC12,GOLONGAN VB,2026-08-20,,,,IDR,empty,0,
3 → 2,SC2,PejalanKaki,VC13,GOLONGAN VIA,2026-08-20,,,,IDR,empty,0,
3 → 2,SC2,PejalanKaki,VC14,GOLONGAN VIB,2026-08-20,,,,IDR,empty,0,
3 → 2,SC2,PejalanKaki,VC15,GOLONGAN VII,2026-08-20,,,,IDR,empty,0,
3 → 2,SC2,PejalanKaki,VC16,GOLONGAN VIII,2026-08-20,,,,IDR,empty,0,
3 → 2,SC2,PejalanKaki,VC17,GOLONGAN IX,2026-08-20,,,,IDR,empty,0,
4 → 5,SC1,Kendaraan,VC4,GOLONGAN I,2026-08-20,12:00:00-13:00:00,220,11000,IDR,OK,1,220
4 → 5,SC1,Kendaraan,VC7,GOLONGAN II,2026-08-20,12:00:00-13:00:00,220,31600,IDR,OK,1,220
4 → 5,SC1,Kendaraan,VC8,GOLONGAN III,2026-08-20,12:00:00-13:00:00,220,45000,IDR,OK,1,220
4 → 5,SC1,Kendaraan,VC9,GOLONGAN IVA,2026-08-20,12:00:00-13:00:00,220,213400,IDR,OK,1,220
4 → 5,SC1,Kendaraan,VC10,GOLONGAN IVB,2026-08-20,12:00:00-13:00:00,220,182400,IDR,OK,1,220
4 → 5,SC1,Kendaraan,VC11,GOLONGAN VA,2026-08-20,12:00:00-13:00:00,220,420400,IDR,OK,1,220
4 → 5,SC1,Kendaraan,VC12,GOLONGAN VB,2026-08-20,12:00:00-13:00:00,220,309500,IDR,OK,1,220
4 → 5,SC1,Kendaraan,VC13,GOLONGAN VIA,2026-08-20,12:00:00-13:00:00,220,637800,IDR,OK,1,220
4 → 5,SC1,Kendaraan,VC14,GOLONGAN VIB,2026-08-20,12:00:00-13:00:00,220,511100,IDR,OK,1,220
4 → 5,SC1,Kendaraan,VC15,GOLONGAN VII,2026-08-20,12:00:00-13:00:00,220,630300,IDR,OK,1,220
4 → 5,SC1,Kendaraan,VC16,GOLONGAN VIII,2026-08-20,12:00:00-13:00:00,220,888300,IDR,OK,1,220
4 → 5,SC1,Kendaraan,VC17,GOLONGAN IX,2026-08-20,12:00:00-13:00:00,220,1229600,IDR,OK,1,220
4 → 5,SC1,PejalanKaki,VC4,GOLONGAN I,2026-08-20,,,,IDR,empty,0,
4 → 5,SC1,PejalanKaki,VC7,GOLONGAN II,2026-08-20,,,,IDR,empty,0,
4 → 5,SC1,PejalanKaki,VC8,GOLONGAN III,2026-08-20,,,,IDR,empty,0,
4 → 5,SC1,PejalanKaki,VC9,GOLONGAN IVA,2026-08-20,,,,IDR,empty,0,
4 → 5,SC1,PejalanKaki,VC10,GOLONGAN IVB,2026-08-20,,,,IDR,empty,0,
4 → 5,SC1,PejalanKaki,VC11,GOLONGAN VA,2026-08-20,,,,IDR,empty,0,
4 → 5,SC1,PejalanKaki,VC12,GOLONGAN VB,2026-08-20,,,,IDR,empty,0,
4 → 5,SC1,PejalanKaki,VC13,GOLONGAN VIA,2026-08-20,,,,IDR,empty,0,
4 → 5,SC1,PejalanKaki,VC14,GOLONGAN VIB,2026-08-20,,,,IDR,empty,0,
4 → 5,SC1,PejalanKaki,VC15,GOLONGAN VII,2026-08-20,,,,IDR,empty,0,
4 → 5,SC1,PejalanKaki,VC16,GOLONGAN VIII,2026-08-20,,,,IDR,empty,0,
