routeId,originHarbourId,origin,destination,destinationProvince,serviceCategory,serviceId,serviceName,vehicleClass,departDate,departTime,scheduleId,quota,fareAmount,totalPrice,currency,status
20,9,Paciran,Bawean,Jawa Timur,Pejalan Kaki,504,Bayi Bisnis,BAYI,2026-08-21,21:00,2627160930380752187,0,12900,12900,IDR,OK
20,9,Paciran,Bawean,Jawa Timur,Pejalan Kaki,525,SUPLESI BAYI EKONOMI KE BISNIS,SUPLESI,2026-08-21,21:00,2627160930380752187,0,4000,4000,IDR,OK
20,9,Paciran,Bawean,Jawa Timur,Pejalan Kaki,7,Dewasa Ekonomi,DEWASA,2026-08-21,21:00,2627160930380752187,0,95000,95000,IDR,OK
20,9,Paciran,Bawean,Jawa Timur,Pejalan Kaki,9,Bayi Ekonomi,BAYI,2026-08-21,21:00,2627160930380752187,0,10000,10000,IDR,OK
2003,2,Karimun Jawa,Jepara,Jawa Tengah,Kendaraan,11,Golongan I,GOL I,2026-08-21,13:30,2627160930380734955,0,77000,77000,IDR,OK
2003,2,Karimun Jawa,Jepara,Jawa Tengah,Kendaraan,12,Golongan II ,GOL II,2026-08-21,13:30,2627160930380734955,0,125000,125000,IDR,OK
2003,2,Karimun Jawa,Jepara,Jawa Tengah,Kendaraan,13,Golongan III,GOL III,2026-08-21,13:30,2627160930380734955,0,282000,282000,IDR,OK
2003,2,Karimun Jawa,Jepara,Jawa Tengah,Kendaraan,14,Golongan IV - Penumpang,GOL IV A,2026-08-21,13:30,2627160930380734955,0,991000,991000,IDR,OK
2003,2,Karimun Jawa,Jepara,Jawa Tengah,Kendaraan,15,Golongan IV - Barang,GOL IV B,2026-08-21,13:30,2627160930380734955,2,1089000,1089000,IDR,OK
2003,2,Karimun Jawa,Jepara,Jawa Tengah,Kendaraan,16,Golongan V - Penumpang,GOL V A,2026-08-21,13:30,2627160930380734955,0,1796000,1796000,IDR,OK
2003,2,Karimun Jawa,Jepara,Jawa Tengah,Kendaraan,17,Golongan V - Barang,GOL V B,2026-08-21,13:30,2627160930380734955,3,1767000,1767000,IDR,OK
2003,2,Karimun Jawa,Jepara,Jawa Tengah,Kendaraan,18,Golongan VI - Penumpang,GOL VI A,2026-08-21,13:30,2627160930380734955,0,2187000,2187000,IDR,OK
2003,2,Karimun Jawa,Jepara,Jawa Tengah,Kendaraan,19,Golongan VI - Barang,GOL VI B,2026-08-21,13:30,2627160930380734955,0,2538000,2538000,IDR,OK
2003,2,Karimun Jawa,Jepara,Jawa Tengah,Kendaraan,20,Golongan VII,GOL VII,2026-08-21,13:30,2627160930380734955,0,2774000,2774000,IDR,OK
2003,2,Karimun Jawa,Jepara,Jawa Tengah,Kendaraan,21,Golongan VIII,GOL VIII,2026-08-21,13:30,2627160930380734955,0,3350000,3350000,IDR,OK
2003,2,Karimun Jawa,Jepara,Jawa Tengah,Kendaraan,22,Golongan IX,GOL IX,2026-08-21,13:30,2627160930380734955,0,6000000,6000000,IDR,OK
2003,2,Karimun Jawa,Jepara,Jawa Tengah,Pejalan Kaki,5,Dewasa Bisnis I,DEWASA,2026-08-21,13:30,2627160930380734955,0,151000,151000,IDR,OK
2003,2,Karimun Jawa,Jepara,Jawa Tengah,Pejalan Kaki,504,Bayi Bisnis,BAYI,2026-08-21,13:30,2627160930380734955,0,23000,23000,IDR,OK
2003,2,Karimun Jawa,Jepara,Jawa Tengah,Pejalan Kaki,517,Tenaga Kesehatan,DEWASA,2026-08-21,13:30,2627160930380734955,0,15000,15000,IDR,OK
2003,2,Karimun Jawa,Jepara,Jawa Tengah,Pejalan Kaki,7,Dewasa Ekonomi,DEWASA,2026-08-21,13:30,2627160930380734955,70,105000,105000,IDR,OK
2003,2,Karimun Jawa,Jepara,Jawa Tengah,Pejalan Kaki,9,Bayi Ekonomi,BAYI,2026-08-21,13:30,2627160930380734955,9,15000,15000,IDR,OK
202203,202,Kolaka,Bajoe,Sulawesi Selatan,Kendaraan,11,Golongan I,GOL I,2026-08-21,11:00,2627160930380753607,5,144300,144300,IDR,OK
202203,202,Kolaka,Bajoe,Sulawesi Selatan,Kendaraan,12,Golongan II ,GOL II,2026-08-21,11:00,2627160930380753607,50,306100,306100,IDR,OK
202203,202,Kolaka,Bajoe,Sulawesi Selatan,Kendaraan,13,Golongan III,GOL III,2026-08-21,11:00,2627160930380753607,5,519200,519200,IDR,OK
202203,202,Kolaka,Bajoe,Sulawesi Selatan,Kendaraan,14,Golongan IV - Penumpang,GOL IV A,2026-08-21,11:00,2627160930380753607,15,1926600,1926600,IDR,OK
202203,202,Kolaka,Bajoe,Sulawesi Selatan,Kendaraan,15,Golongan IV - Barang,GOL IV B,2026-08-21,11:00,2627160930380753607,10,1857000,1857000,IDR,OK
202203,202,Kolaka,Bajoe,Sulawesi Selatan,Kendaraan,16,Golongan V - Penumpang,GOL V A,2026-08-21,11:00,2627160930380753607,10,3585700,3585700,IDR,OK
202203,202,Kolaka,Bajoe,Sulawesi Selatan,Kendaraan,17,Golongan V - Barang,GOL V B,2026-08-21,11:00,2627160930380753607,10,3152500,3152500,IDR,OK
202203,202,Kolaka,Bajoe,Sulawesi Selatan,Kendaraan,18,Golongan VI - Penumpang,GOL VI A,2026-08-21,11:00,2627160930380753607,10,6030600,6030600,IDR,OK
202203,202,Kolaka,Bajoe,Sulawesi Selatan,Kendaraan,19,Golongan VI - Barang,GOL VI B,2026-08-21,11:00,2627160930380753607,10,5007800,5007800,IDR,OK
202203,202,Kolaka,Bajoe,Sulawesi Selatan,Kendaraan,20,Golongan VII,GOL VII,2026-08-21,11:00,2627160930380753607,5,6216800,6216800,IDR,OK
202203,202,Kolaka,Bajoe,Sulawesi Selatan,Kendaraan,21,Golongan VIII,GOL VIII,2026-08-21,11:00,2627160930380753607,5,8727700,8727700,IDR,OK
202203,202,Kolaka,Bajoe,Sulawesi Selatan,Kendaraan,22,Golongan IX,GOL IX,2026-08-21,11:00,2627160930380753607,5,12711800,12711800,IDR,OK
202203,202,Kolaka,Bajoe,Sulawesi Selatan,Pejalan Kaki,1,Dewasa,DEWASA,2026-08-21,11:00,2627160930380753607,0,96000,96000,IDR,OK
202203,202,Kolaka,Bajoe,Sulawesi Selatan,Pejalan Kaki,7,Dewasa Ekonomi,DEWASA,2026-08-21,11:00,2627160930380753607,150,111400,111400,IDR,OK
202203,202,Kolaka,Bajoe,Sulawesi Selatan,Pejalan Kaki,9,Bayi Ekonomi,BAYI,2026-08-21,11:00,2627160930380753607,5,11300,11300,IDR,OK
203202,203,Bajoe,Kolaka,Sulawesi Tenggara,Kendaraan,11,Golongan I,GOL I,2026-08-21,11:00,2627160930380753330,5,144300,144300,IDR,OK
203202,203,Bajoe,Kolaka,Sulawesi Tenggara,Kendaraan,12,Golongan II ,GOL II,2026-08-21,11:00,2627160930380753330,50,306100,306100,IDR,OK
203202,203,Bajoe,Kolaka,Sulawesi Tenggara,Kendaraan,13,Golongan III,GOL III,2026-08-21,11:00,2627160930380753330,5,519200,519200,IDR,OK
203202,203,Bajoe,Kolaka,Sulawesi Tenggara,Kendaraan,14,Golongan IV - Penumpang,GOL IV A,2026-08-21,11:00,2627160930380753330,20,1926600,1926600,IDR,OK
203202,203,Bajoe,Kolaka,Sulawesi Tenggara,Kendaraan,15,Golongan IV - Barang,GOL IV B,2026-08-21,11:00,2627160930380753330,20,1857000,1857000,IDR,OK
203202,203,Bajoe,Kolaka,Sulawesi Tenggara,Kendaraan,16,Golongan V - Penumpang,GOL V A,2026-08-21,11:00,2627160930380753330,10,3585700,3585700,IDR,OK
203202,203,Bajoe,Kolaka,Sulawesi Tenggara,Kendaraan,17,Golongan V - Barang,GOL V B,2026-08-21,11:00,2627160930380753330,20,3152500,3152500,IDR,OK
203202,203,Bajoe,Kolaka,Sulawesi Tenggara,Kendaraan,18,Golongan VI - Penumpang,GOL VI A,2026-08-21,11:00,2627160930380753330,5,6030600,6030600,IDR,OK
203202,203,Bajoe,Kolaka,Sulawesi Tenggara,Kendaraan,19,Golongan VI - Barang,GOL VI B,2026-08-21,11:00,2627160930380753330,10,5007800,5007800,IDR,OK
203202,203,Bajoe,Kolaka,Sulawesi Tenggara,Kendaraan,20,Golongan VII,GOL VII,2026-08-21,11:00,2627160930380753330,10,6216800,6216800,IDR,OK
203202,203,Bajoe,Kolaka,Sulawesi Tenggara,Kendaraan,21,Golongan VIII,GOL VIII,2026-08-21,11:00,2627160930380753330,5,8727700,8727700,IDR,OK
203202,203,Bajoe,Kolaka,Sulawesi Tenggara,Kendaraan,22,Golongan IX,GOL IX,2026-08-21,11:00,2627160930380753330,5,12711800,12711800,IDR,OK
203202,203,Bajoe,Kolaka,Sulawesi Tenggara,Pejalan Kaki,1,Dewasa,DEWASA,2026-08-21,11:00,2627160930380753330,0,105600,105600,IDR,OK
203202,203,Bajoe,Kolaka,Sulawesi Tenggara,Pejalan Kaki,7,Dewasa Ekonomi,DEWASA,2026-08-21,11:00,2627160930380753330,150,111400,111400,IDR,OK
203202,203,Bajoe,Kolaka,Sulawesi Tenggara,Pejalan Kaki,9,Bayi Ekonomi,BAYI,2026-08-21,11:00,2627160930380753330,5,11300,11300,IDR,OK
217218,217,Kendari,Langara,Sulawesi Tenggara,Kendaraan,11,Golongan I,GOL I,2026-08-21,13:00,2627160930380753636,1,57000,57000,IDR,OK
217218,217,Kendari,Langara,Sulawesi Tenggara,Kendaraan,12,Golongan II ,GOL II,2026-08-21,13:00,2627160930380753636,50,110000,110000,IDR,OK
217218,217,Kendari,Langara,Sulawesi Tenggara,Kendaraan,13,Golongan III,GOL III,2026-08-21,13:00,2627160930380753636,1,310000,310000,IDR,OK
217218,217,Kendari,Langara,Sulawesi Tenggara,Kendaraan,14,Golongan IV - Penumpang,GOL IV A,2026-08-21,13:00,2627160930380753636,3,810000,810000,IDR,OK
217218,217,Kendari,Langara,Sulawesi Tenggara,Kendaraan,15,Golongan IV - Barang,GOL IV B,2026-08-21,13:00,2627160930380753636,3,760000,760000,IDR,OK
217218,217,Kendari,Langara,Sulawesi Tenggara,Kendaraan,16,Golongan V - Penumpang,GOL V A,2026-08-21,13:00,2627160930380753636,1,1400000,1400000,IDR,OK
217218,217,Kendari,Langara,Sulawesi Tenggara,Kendaraan,17,Golongan V - Barang,GOL V B,2026-08-21,13:00,2627160930380753636,2,1300000,1300000,IDR,OK
217218,217,Kendari,Langara,Sulawesi Tenggara,Kendaraan,18,Golongan VI - Penumpang,GOL VI A,2026-08-21,13:00,2627160930380753636,1,2100000,2100000,IDR,OK
217218,217,Kendari,Langara,Sulawesi Tenggara,Kendaraan,19,Golongan VI - Barang,GOL VI B,2026-08-21,13:00,2627160930380753636,2,1750000,1750000,IDR,OK
217218,217,Kendari,Langara,Sulawesi Tenggara,Kendaraan,20,Golongan VII,GOL VII,2026-08-21,13:00,2627160930380753636,1,2850000,2850000,IDR,OK
217218,217,Kendari,Langara,Sulawesi Tenggara,Kendaraan,21,Golongan VIII,GOL VIII,2026-08-21,13:00,2627160930380753636,1,3800000,3800000,IDR,OK
217218,217,Kendari,Langara,Sulawesi Tenggara,Kendaraan,22,Golongan IX,GOL IX,2026-08-21,13:00,2627160930380753636,1,4800000,4800000,IDR,OK
217218,217,Kendari,Langara,Sulawesi Tenggara,Pejalan Kaki,483,BISNIS BAYI,BAYI,2026-08-21,13:00,2627160930380753636,0,36000,36000,IDR,OK
217218,217,Kendari,Langara,Sulawesi Tenggara,Pejalan Kaki,5,Dewasa Bisnis I,DEWASA,2026-08-21,13:00,2627160930380753636,0,65000,65000,IDR,OK
217218,217,Kendari,Langara,Sulawesi Tenggara,Pejalan Kaki,525,SUPLESI BAYI EKONOMI KE BISNIS,SUPLESI,2026-08-21,13:00,2627160930380753636,0,32000,32000,IDR,OK
217218,217,Kendari,Langara,Sulawesi Tenggara,Pejalan Kaki,7,Dewasa Ekonomi,DEWASA,2026-08-21,13:00,2627160930380753636,100,31000,31000,IDR,OK
217218,217,Kendari,Langara,Sulawesi Tenggara,Pejalan Kaki,9,Bayi Ekonomi,BAYI,2026-08-21,13:00,2627160930380753636,10,4000,4000,IDR,OK
218217,218,Langara,Kendari,Sulawesi Tenggara,Kendaraan,11,Golongan I,GOL I,2026-08-21,08:00,2627160930380753627,1,57000,57000,IDR,OK
