routeId,originHarbourId,originHarbourName,originProvince,origin,destination,destinationProvince
22,12,Ujung,Jawa Timur,Ujung,Kamal,Jawa Timur
1514,15,Ulee Lheue,Aceh,Ulee Lheue,Balohan,Aceh
201200,201,Waikelo,Nusa Tenggara Timur,Waikelo,Sape,Nusa Tenggara Barat
5442,177,Waingapu,Nusa Tenggara Timur,Waingapu,Aimere,Nusa Tenggara Timur
5443,177,Waingapu,Nusa Tenggara Timur,Waingapu,Ende,Nusa Tenggara Timur
5415,177,Waingapu,Nusa Tenggara Timur,Waingapu,Kupang,Nusa Tenggara Timur
436199,436,Waingapu,Nusa Tenggara Timur,Waingapu,Labuan Bajo,Nusa Tenggara Timur
177342,177,Waingapu,Nusa Tenggara Timur,Waingapu,Raijua,Nusa Tenggara Timur
5335,177,Waingapu,Nusa Tenggara Timur,Waingapu,Sabu,Nusa Tenggara Timur
436200,436,Waingapu,Nusa Tenggara Timur,Waingapu,Sape,Nusa Tenggara Barat
5485,95,Waipirit,Maluku,Waipirit,Hunimua,Maluku
