routeId,source,originHarbourId,destinationHarbourId,originHarbourName,originProvince,origin,destination,destinationProvince,shipClassId,shipClass
22,trip.ferizy.com,12,,Ujung,Jawa Timur,Ujung,Kamal,Jawa Timur,,
1514,trip.ferizy.com,15,,Ulee Lheue,Aceh,Ulee Lheue,Balohan,Aceh,,
201200,trip.ferizy.com,201,,Waikelo,Nusa Tenggara Timur,Waikelo,Sape,Nusa Tenggara Barat,,
5442,trip.ferizy.com,177,,Waingapu,Nusa Tenggara Timur,Waingapu,Aimere,Nusa Tenggara Timur,,
5443,trip.ferizy.com,177,,Waingapu,Nusa Tenggara Timur,Waingapu,Ende,Nusa Tenggara Timur,,
5415,trip.ferizy.com,177,,Waingapu,Nusa Tenggara Timur,Waingapu,Kupang,Nusa Tenggara Timur,,
436199,trip.ferizy.com,436,,Waingapu,Nusa Tenggara Timur,Waingapu,Labuan Bajo,Nusa Tenggara Timur,,
177342,trip.ferizy.com,177,,Waingapu,Nusa Tenggara Timur,Waingapu,Raijua,Nusa Tenggara Timur,,
5335,trip.ferizy.com,177,,Waingapu,Nusa Tenggara Timur,Waingapu,Sabu,Nusa Tenggara Timur,,
436200,trip.ferizy.com,436,,Waingapu,Nusa Tenggara Timur,Waingapu,Sape,Nusa Tenggara Barat,,
5485,trip.ferizy.com,95,,Waipirit,Maluku,Waipirit,Hunimua,Maluku,,
